id,created_at,text,retweet_count,reply_count,like_count,quote_count,possibly_sensitive
1496695750373396486,"02/24/2022, 03:57:28","Middle of the night but the roads out of #Ukraine's capital city #Kyiv are busy as families flee.

#UkraineUnderAttack
#PutinsWar 
#StandWithUkraine https://t.co/LeQt2EfqPl",10,2,23,6,False
1496695675031064578,"02/24/2022, 03:57:10","Footage of ukrainian civilians fleeing from Ukraine's Capital #Kiev by roads and ground as the Missile and Air strikes started around all country.

#UkraineCrisis #UkraineConflict #UkraineUnderAttack https://t.co/bjATroavjh",55,2,106,2,False
1496692631463776256,"02/24/2022, 03:45:05","Inside #Russia, a seemingly endless stream of missiles is fired over the border into #Ukraine one hour in to the unprovoked war.

This was filmed from Belgorod near the border.

#UkraineUnderAttack
#PutinsWar 
#StandWithUkraine https://t.co/kLXDwrDhCd",5,3,15,1,False
1496691799707963399,"02/24/2022, 03:41:46","Not happening 💔
#UkraineUnderAttack https://t.co/T702YittrT",0,2,3,0,False
1496691397587521537,"02/24/2022, 03:40:11","Middles of the night but the southern #Ukraine city of #Mariupol' is lit up like daylight by Russia's killing machines.

Numerous missiles raining down

#UkraineUnderAttack
#PutinsWar 
#StandWithUkraine https://t.co/7xwviI8YZi",12,1,20,2,False
1496690643921518592,"02/24/2022, 03:37:11","This unverified video is thought to have been uploaded from #Russia, filming missiles being fired across the border into #Ukraine 

#UkraineUnderAttack
#PutinsWar 
#StandWithUkraine https://t.co/kLUyObBxOc",3,1,10,0,False
1496690036313505794,"02/24/2022, 03:34:46",@ohbuddy65 @KevinRothrock Sickening— murdering innocent people who do not want war!  #Ukraineunderattack,0,0,1,0,False
1496690004449452038,"02/24/2022, 03:34:38","Blasts heard in Ukraine's capital Kyiv. That Ukraine may be under attack by Russia's Putin and TFG, Republicans, FAUX News have spoken positively about Putin only to make Biden look bad while innocent people may die is the lowest of the low for the Right!  #UkraineUnderAttack https://t.co/W5tpJOkriB",30,10,68,0,False
1496689898505580548,"02/24/2022, 03:34:13","OMG

Look at the barrage unleashed on #Mariupol' in southern #Ukraine by the despot in Moscow.

This is horrific. #WarCrimes

#UkraineUnderAttack
#PutinsWar 
#StandWithUkraine https://t.co/qbvgsbBV5h",12,1,18,1,False
1496689316017365002,"02/24/2022, 03:31:54",Welcome to WW3 folks. #ukraineunderattack https://t.co/4y9mzxbsmH,0,0,1,0,False
1496688997522944004,"02/24/2022, 03:30:38","#Ukraine's main airport, Boryspil' (KBP) is under attack.
Missiles reportedly launched.

Another major city #Dnipro also reporting incoming shelling.

#UkraineUnderAttack
#PutinsWar 
#StandWithUkraine",10,1,18,0,False
1496687847008616449,"02/24/2022, 03:26:04","Unverified video from #Mariupol' also a big port city closest city to the old frontline with rebel republic of Donetsk.

#UkraineUnderAttack
#PutinsWar 
#StandWithUkraine https://t.co/tFL3yakhkM",3,1,8,1,False
1496687418774274064,"02/24/2022, 03:24:22","Unverified video from #Nikolaev, another city in south-east #Ukraine 

#UkraineUnderAttack
#PutinsWar 
#StandWithUkraine https://t.co/66LQfFGaVy",4,1,11,0,False
